,311,401,402,403,404,405,406,407,408,409,410,411,412,413,414,415
401,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
402,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
403,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
404,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
405,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
406,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
407,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
408,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
409,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
410,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
411,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
412,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
413,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
414,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
415,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
